Ubunut1404
ami-d3f8bab6	x86_64	2015-10-06T09:25:04.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151005	None	hvm	ebs	x86_64	available
ami-db3d72be	x86_64	2015-10-08T08:56:20.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151007	None	hvm	ebs	x86_64	available
ami-7d5e1018	x86_64	2015-10-09T08:46:43.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151008	None	hvm	ebs	x86_64	available
ami-d31e49b6	x86_64	2015-10-15T20:42:24.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151015	None	hvm	ebs	x86_64	available
ami-ff02509a	x86_64	2015-10-20T09:02:40.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151019	None	hvm	ebs	x86_64	available
ami-f7136c9d	x86_64	2015-11-06T23:01:43.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151105	None	hvm	ebs	x86_64	available
ami-7b89cc11	x86_64	2015-11-18T08:15:56.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151117	None	hvm	ebs	x86_64	available
ami-d06632ba	x86_64	2015-12-18T09:39:13.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151217	None	hvm	ebs	x86_64	available
ami-5c207736	x86_64	2015-12-20T01:44:08.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20151218	None	hvm	ebs	x86_64	available
ami-7a715710	x86_64	2016-01-20T12:13:22.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160119	None	hvm	ebs	x86_64	available
ami-35d6f95f	x86_64	2016-02-02T12:09:59.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160201	None	hvm	ebs	x86_64	available
ami-415f6d2b	x86_64	2016-02-23T13:51:55.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160222	None	hvm	ebs	x86_64	available
ami-df0607b5	x86_64	2016-03-15T08:29:20.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160314	None	hvm	ebs	x86_64	available
ami-2b594f41	x86_64	2016-04-06T22:00:13.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160406	None	hvm	ebs	x86_64	available
ami-50759d3d	x86_64	2016-05-17T09:52:44.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160516	None	hvm	ebs	x86_64	available
ami-db24d8b6	x86_64	2016-06-03T01:15:40.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160602	None	hvm	ebs	x86_64	available
ami-8cda19e1	x86_64	2016-06-21T12:06:17.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160620	None	hvm	ebs	x86_64	available
ami-2d39803a	x86_64	2016-06-29T15:12:14.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160627	None	hvm	ebs	x86_64	available
ami-3bdd502c	x86_64	2016-07-15T10:35:46.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160714	None	hvm	ebs	x86_64	available
ami-8fe79998	x86_64	2016-09-20T05:32:28.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20160919	None	hvm	ebs	x86_64	available
ami-4f0c4758	x86_64	2016-10-11T06:54:25.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20161010	None	hvm	ebs	x86_64	available
ami-c8580bdf	x86_64	2016-10-20T23:12:47.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20161020	None	hvm	ebs	x86_64	available
ami-b3123fa4	x86_64	2016-11-10T07:15:18.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20161109	None	hvm	ebs	x86_64	available
ami-1081b807	x86_64	2016-12-01T06:53:11.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20161130	None	hvm	ebs	x86_64	available
ami-72343365	x86_64	2016-12-06T13:49:03.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20161205	None	hvm	ebs	x86_64	available
ami-5ac2cd4d	x86_64	2016-12-14T16:34:52.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20161213	None	hvm	ebs	x86_64	available
ami-2fee0b39	x86_64	2017-01-06T03:40:07.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170104	None	hvm	ebs	x86_64	available
